step,customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,fraud
92,'C859628493','6','F',60454,'M1823072687','28007','es_transportation',165.44,0
179,'C278501873','1','U',87827,'M1823072687','28007','es_transportation',9.26,0
120,'C1421006824','3','F',21907,'M1823072687','28007','es_transportation',47.34,0
172,'C1860405125','5','F',09951,'M1823072687','28007','es_transportation',7.41,0
59,'C1404589205','2','U',54264,'M1823072687','28007','es_transportation',8.39,0
123,'C61142824','6','F',84245,'M1823072687','28007','es_transportation',1.83,0
104,'C366601563','2','F',55171,'M1823072687','28007','es_transportation',161.9,0
168,'C1021409246','3','F',84805,'M1823072687','28007','es_transportation',25.29,0
141,'C1953872129','2','F',27137,'M1823072687','28007','es_leisure',22.48,0
87,'C194859196','2','F',29893,'M1823072687','28007','es_transportation',95.91,0
114,'C673048498','4','F',27600,'M1823072687','28007','es_transportation',9.56,0
18,'C1750373007','2','U',90057,'M1823072687','28007','es_transportation',50.87,0
33,'C1666444221','3','U',59251,'M1823072687','28007','es_transportation',15.79,0
147,'C1780497356','4','F',94008,'M1823072687','28007','es_leisure',52.79,0
73,'C1460082550','5','F',95350,'M1823072687','28007','es_transportation',22.14,0
101,'C1453917071','2','U',08288,'M1823072687','28007','es_transportation',59.1,0
149,'C1203244235','4','F',14072,'M1823072687','28007','es_transportation',70.03,0
92,'C1297995542','2','F',77608,'M1823072687','28007','es_transportation',15.05,0
122,'C1981089677','6','F',07073,'M1823072687','28007','es_transportation',6.81,0
105,'C2130871815','4','F',71933,'M1823072687','28007','es_transportation',74.15,0
150,'C1602759549','3','F',00761,'M1823072687','28007','es_hyper',58.37,0
49,'C103995111','3','F',29610,'M1823072687','28007','es_transportation',58.89,0
148,'C1395098424','6','U',35755,'M1823072687','28007','es_transportation',12.55,0
119,'C588937224','2','F',41312,'M1823072687','28007','es_transportation',114.09,0
17,'C1809104609','1','F',23465,'M1823072687','28007','es_transportation',11.2,0
156,'C1516302826','3','F',66184,'M1823072687','28007','es_transportation',64.99,0
126,'C1651034737','3','U',39346,'M1823072687','28007','es_transportation',8.45,0
61,'C592766342','5','F',57445,'M1823072687','28007','es_leisure',157.89,0
14,'C1140073765','2','F',81575,'M1823072687','28007','es_transportation',42.83,0
161,'C299858046','2','F',82063,'M1823072687','28007','es_transportation',34.23,0
76,'C1526175877','3','F',86536,'M1823072687','28007','es_transportation',2.35,0
120,'C1911908507','4','U',35888,'M1823072687','28007','es_leisure',35.82,0
47,'C1226558289','3','F',55645,'M1823072687','28007','es_leisure',20.24,0
44,'C1560259762','3','F',14429,'M1823072687','28007','es_transportation',13.52,0
7,'C2104185147','1','F',22378,'M1823072687','28007','es_transportation',33.36,0
167,'C1082608644','5','U',24667,'M1823072687','28007','es_transportation',46.17,0
135,'C106333716','5','F',89858,'M1823072687','28007','es_leisure',53.38,0
166,'C125481968','5','F',08456,'M1823072687','28007','es_transportation',17.34,0
91,'C1311947724','4','F',96845,'M1823072687','28007','es_leisure',33.56,0
177,'C886993530','3','F',01416,'M1823072687','28007','es_wellnessandbeauty',59.07,0
44,'C262282046','3','F',78621,'M1823072687','28007','es_transportation',47.8,0
11,'C1739468858','2','F',63690,'M1823072687','28007','es_transportation',55.1,0
111,'C250546729','3','F',12823,'M1823072687','28007','es_transportation',123.79,0
170,'C1207877529','2','F',26232,'M1823072687','28007','es_travel',4.86,0
62,'C1597422235','3','F',59728,'M1823072687','28007','es_transportation',25.72,0
51,'C615816786','2','U',78338,'M1823072687','28007','es_transportation',40.21,0
161,'C1625937550','4','F',35781,'M1823072687','28007','es_transportation',253.06,0
86,'C1916796804','2','F',37045,'M1823072687','28007','es_transportation',9.65,0
82,'C16791543','5','F',55115,'M1823072687','28007','es_transportation',40.23,0
170,'C739658140','3','F',87587,'M1823072687','28007','es_leisure',42.57,0
122,'C10105795','4','U',88371,'M1823072687','28007','es_transportation',19.13,0
141,'C2020967123','2','F',82688,'M1823072687','28007','es_transportation',9.47,0
100,'C1360481565','4','F',46624,'M1823072687','28007','es_transportation',27.21,0
41,'C171345183','1','U',06410,'M1823072687','28007','es_leisure',14.75,0
67,'C72452640','4','F',58582,'M1823072687','28007','es_transportation',40.78,1
109,'C663226052','3','F',79172,'M1823072687','28007','es_transportation',3.2,0
19,'C1289081546','5','U',40875,'M1823072687','28007','es_health',2.36,0
128,'C969824969','2','U',04390,'M1823072687','28007','es_transportation',21.82,0
82,'C1803181641','6','F',56683,'M1823072687','28007','es_transportation',14.28,0
87,'C1960639712','5','F',85390,'M1823072687','28007','es_transportation',48.99,0
164,'C626305923','4','F',85719,'M1823072687','28007','es_transportation',34.94,0
116,'C1902378891','2','F',58703,'M1823072687','28007','es_transportation',153.76,0
153,'C1949984685','3','U',67651,'M1823072687','28007','es_transportation',36.39,0
109,'C1801270098','3','F',32741,'M1823072687','28007','es_transportation',24.59,0
135,'C707845856','3','F',55371,'M1823072687','28007','es_transportation',3.53,0
66,'C707326919','3','U',18524,'M1823072687','28007','es_transportation',55.35,0
99,'C1093060677','4','F',94710,'M1823072687','28007','es_leisure',7.19,0
141,'C1612487865','6','F',56420,'M1823072687','28007','es_transportation',4.88,0
76,'C1801015376','2','F',58727,'M1823072687','28007','es_transportation',131.29,0
97,'C2072009750','6','F',35107,'M1823072687','28007','es_transportation',48.84,0
174,'C255059556','2','F',63218,'M1823072687','28007','es_transportation',20.52,0
66,'C620542168','5','F',31554,'M1823072687','28007','es_transportation',37.3,0
75,'C1820855004','3','U',12718,'M1823072687','28007','es_transportation',22.28,0
39,'C1828416123','3','F',33442,'M1823072687','28007','es_transportation',9.87,0
155,'C1059534096','4','U',43373,'M1823072687','28007','es_transportation',29.98,0
172,'C23582994','3','F',24824,'M1823072687','28007','es_transportation',9.13,0
22,'C1282114843','2','F',91179,'M1823072687','28007','es_transportation',90.82,0
9,'C1100276718','3','F',19086,'M1823072687','28007','es_transportation',18.76,0
151,'C115603187','2','F',32816,'M1823072687','28007','es_transportation',17.22,0
16,'C1802714004','4','F',45663,'M1823072687','28007','es_transportation',102.04,0
131,'C153258882','2','F',88374,'M1823072687','28007','es_leisure',35.57,0
85,'C815064001','2','F',63961,'M1823072687','28007','es_transportation',17.63,0
159,'C222098023','1','F',45933,'M1823072687','28007','es_transportation',42.62,0
118,'C1125717761','3','F',05021,'M1823072687','28007','es_transportation',6.6,0
140,'C1901064095','5','F',13189,'M1823072687','28007','es_transportation',72.63,0
93,'C966335674','2','F',61567,'M1823072687','28007','es_transportation',66.73,0
70,'C962248715','4','F',85625,'M1823072687','28007','es_transportation',11.87,0
125,'C620327304','6','F',80839,'M1823072687','28007','es_transportation',16.93,0
141,'C176878772','4','U',94487,'M1823072687','28007','es_transportation',27.22,0
107,'C757503768','3','F',30778,'M1823072687','28007','es_transportation',60.94,0
12,'C85142763','4','F',25917,'M1823072687','28007','es_transportation',21.84,0
86,'C350626061','3','F',93420,'M1823072687','28007','es_transportation',70.79,0
146,'C1122213892','2','F',42515,'M1823072687','28007','es_transportation',55.1,0
134,'C1118984324','2','F',25088,'M1823072687','28007','es_transportation',3.16,0
69,'C2072009750','3','U',06272,'M1823072687','28007','es_transportation',7.86,0
14,'C109617474','2','F',31996,'M1823072687','28007','es_transportation',17.61,0
111,'C1869142879','2','U',19482,'M1823072687','28007','es_transportation',2.42,0
58,'C100992504','4','F',73768,'M1823072687','28007','es_transportation',31.87,0
39,'C1400397779','3','F',02967,'M1823072687','28007','es_transportation',27.68,0
133,'C1163804561','3','F',17093,'M1823072687','28007','es_transportation',59.53,0
46,'C320437746','2','F',44175,'M1823072687','28007','es_transportation',64.82,0
102,'C1296664552','2','F',03818,'M1823072687','28007','es_transportation',7.59,0
101,'C257361511','2','F',29448,'M1823072687','28007','es_transportation',5.94,0
37,'C968861433','3','F',96893,'M1823072687','28007','es_transportation',38.34,0
99,'C383709704','2','U',08499,'M1823072687','28007','es_transportation',93.25,0
151,'C87462443','2','F',28329,'M1823072687','28007','es_transportation',14.5,0
50,'C1030975170','3','F',83605,'M1823072687','28007','es_transportation',13.22,0
142,'C346693029','6','U',29027,'M1823072687','28007','es_transportation',48.59,0
80,'C1364381627','2','F',44505,'M1823072687','28007','es_leisure',94.83,0
28,'C1332125345','2','F',31012,'M1823072687','28007','es_transportation',7.3,0
73,'C1364381627','5','F',28982,'M1823072687','28007','es_transportation',32.42,0
41,'C994739890','3','F',73126,'M1823072687','28007','es_leisure',140.34,0
85,'C990997956','3','F',70845,'M1823072687','28007','es_transportation',85.36,0
137,'C1315400589','2','F',85029,'M1823072687','28007','es_transportation',20.56,0
15,'C1361037703','2','F',63856,'M1823072687','28007','es_transportation',4.97,0
153,'C833126375','3','F',04907,'M1823072687','28007','es_transportation',22.32,0
94,'C299357678','3','F',58825,'M1823072687','28007','es_travel',108.15,0
144,'C1947369699','2','F',99224,'M1823072687','28007','es_leisure',42.04,0
21,'C296630818','1','F',19738,'M1823072687','28007','es_transportation',39.59,0
12,'C351144071','2','F',39649,'M1823072687','28007','es_transportation',1.88,0
165,'C1156808163','2','F',14606,'M1823072687','28007','es_transportation',1.07,0
100,'C1508373758','2','F',42538,'M1823072687','28007','es_transportation',7.75,0
115,'C1553941793','6','F',02814,'M1823072687','28007','es_leisure',68.92,0
123,'C259158925','6','F',62834,'M1823072687','28007','es_transportation',45.33,0
156,'C481253497','3','F',93287,'M1823072687','28007','es_transportation',24.17,0
84,'C2125787399','4','F',54741,'M1823072687','28007','es_transportation',16.31,0
147,'C285984841','6','F',19313,'M1823072687','28007','es_transportation',9.24,0
39,'C1342037956','2','U',01023,'M1823072687','28007','es_transportation',62.58,0
143,'C139784508','4','F',94631,'M1823072687','28007','es_transportation',11.12,0
134,'C1137292670','5','F',44864,'M1823072687','28007','es_transportation',64.75,0
82,'C1855338494','2','F',01534,'M1823072687','28007','es_transportation',7.47,0
120,'C67418210','4','F',31881,'M85975013','28007','es_leisure',30.14,0
162,'C1037622786','4','F',65033,'M1823072687','28007','es_transportation',11.53,0
138,'C1541224095','2','F',62861,'M1823072687','28007','es_transportation',2.52,0
6,'C747353905','2','F',96721,'M1823072687','28007','es_transportation',80.68,0
72,'C662187574','3','F',06084,'M1823072687','28007','es_transportation',27.52,0
173,'C779868884','2','F',06683,'M1823072687','28007','es_transportation',8.22,0
138,'C626836922','2','U',89316,'M1823072687','28007','es_transportation',32.15,0
22,'C1689884214','2','F',86737,'M1053599405','28007','es_leisure',60.75,0
53,'C1915603015','2','U',49414,'M1823072687','28007','es_transportation',42.27,0
87,'C1710387865','3','F',68628,'M1823072687','28007','es_transportation',23.68,0
97,'C1438489717','4','F',98835,'M1823072687','28007','es_leisure',30.34,0
48,'C479535332','3','U',25693,'M1823072687','28007','es_transportation',15.61,0
119,'C763005836','1','U',84238,'M1823072687','28007','es_transportation',110.95,0
107,'C276409392','4','F',87630,'M1823072687','28007','es_transportation',23.22,0
17,'C1698653726','3','F',35116,'M1823072687','28007','es_transportation',36.28,0
79,'C1855266571','2','U',51918,'M1823072687','28007','es_wellnessandbeauty',86.18,0
118,'C291671443','3','F',21981,'M1823072687','28007','es_transportation',20.29,0
125,'C563092648','6','U',86289,'M1823072687','28007','es_transportation',27.41,0
53,'C1178005728','2','F',21842,'M1823072687','28007','es_transportation',2.56,0
78,'C554819698','3','F',45226,'M1823072687','28007','es_transportation',9.7,0
63,'C1497615115','3','U',89753,'M1823072687','28007','es_leisure',29.7,1
98,'C1170049298','2','F',45734,'M1823072687','28007','es_transportation',77.4,0
141,'C1100510913','4','F',25362,'M1823072687','28007','es_transportation',88.81,0
126,'C756645719','2','U',75392,'M1823072687','28007','es_transportation',13.35,0
91,'C1497367004','2','F',94398,'M1823072687','28007','es_transportation',69.65,0
88,'C1783206868','1','F',59529,'M1823072687','28007','es_transportation',6.24,0
67,'C2136553361','4','F',08869,'M1823072687','28007','es_transportation',45.36,0
77,'C256152889','4','U',60328,'M1823072687','28007','es_transportation',18.38,0
7,'C1362652272','2','F',26463,'M1823072687','28007','es_transportation',45.54,0
107,'C461669469','5','F',44356,'M1823072687','28007','es_transportation',47.23,0
74,'C1775239769','5','F',32127,'M1823072687','28007','es_transportation',8.86,0
10,'C47376492','5','U',35992,'M1823072687','28007','es_transportation',36.19,0
105,'C1475317372','4','F',68490,'M1823072687','28007','es_transportation',28.12,0
95,'C99594781','3','F',82107,'M1823072687','28007','es_transportation',26.79,0
173,'C1295945354','3','F',49860,'M1823072687','28007','es_transportation',38.64,0
11,'C1763342131','4','F',91002,'M1823072687','28007','es_transportation',2.99,0
89,'C1472480119','4','F',25886,'M1823072687','28007','es_transportation',53.67,0
10,'C1719535099','3','F',56502,'M1823072687','28007','es_transportation',32.16,0
139,'C751491447','2','F',83691,'M1823072687','28007','es_transportation',26.74,0
100,'C1723688663','3','F',48684,'M1823072687','28007','es_transportation',20.73,0
